Date,Track Name,Artist,Genre,Tempo,Loudness,Productivity
2024-17-12,"Quizás, Quizás - Live",Buena Vista Social Club,"latin jazz, musica tradicional cubana, world",132.962982178,0.883994519711,66.66666667
2024-17-12,Island Chick,"MERO, Jazeek",german hip hop,126.910697937,0.908984184265,66.66666667
2024-17-12,Ruled by Secrecy,Muse,"album rock, classic rock, hard rock, rock",126.910697937,0.908984184265,66.66666667
2024-17-12,Aşka Çarem Yok - Akustik,Nova Norda,"turkish alt pop, turkish rock",126.910697937,0.908984184265,66.66666667
2024-17-12,Ophelia,The Lumineers,"folk-pop, modern rock, neo mellow, stomp and holler",126.910697937,0.908984184265,66.66666667
2024-17-12,Feet Don't Fail Me Now,Joy Crookes,"alternative r&b, uk contemporary r&b",126.910697937,0.908984184265,66.66666667
2024-17-12,Cry,Cigarettes After Sex,"ambient pop, dream pop, el paso indie, shoegaze",126.910697937,0.908984184265,66.66666667
2024-17-12,interstellar.,"pandora., chillwithme, cødy",ambient lo-fi,126.910697937,0.908984184265,66.66666667
2024-17-12,Dreaming,Smallpools,"hopebeat, indie poptimism, la indie, la pop, metropopolis, modern alternative rock, modern rock",126.910697937,0.908984184265,66.66666667
2024-18-12,If You Don't Want My Love,Jalen Ngonda,retro soul,126.910697937,0.908984184265,78.57142857
2024-18-12,Safe And Sound,Capital Cities,"metropopolis, modern rock",99.9584350586,0.934315443039,78.57142857
2024-18-12,Beni Aşka İnandır,Kolpa,"turkish pop, turkish rock",126.910697937,0.908984184265,78.57142857
2024-18-12,Je te laisserai des mots,Patrick Watson,"indie folk, indie quebecois",126.910697937,0.908984184265,78.57142857
2024-18-12,On & On,"Cartoon, Jéja, Daniel Levi",gaming edm,115.266426086,0.845479249954,78.57142857
2024-19-12,Cola,"CamelPhat, Elderbrook","deep tech house, house, progressive house, uk dance",126.910697937,0.908984184265,71.42857143
2024-19-12,Brazil,Declan McKenna,pov: indie,126.910697937,0.908984184265,71.42857143
2024-19-12,"Hey, Soul Sister",Train,"dance pop, neo mellow, pop, pop rock",126.910697937,0.908984184265,71.42857143
2024-19-12,Get Into The Groove,"Giacomo Turra, Mikey Jose",modern funk,126.910697937,0.908984184265,71.42857143
2024-19-12,Ascension (Don't Ever Wonder) - Remastered 2021,Maxwell,german hip hop,126.910697937,0.908984184265,71.42857143
2024-19-12,Viva La Vida,Coldplay,"permanent wave, pop",126.910697937,0.908984184265,71.42857143
2024-19-12,Are You With Me,Lost Frequencies,"belgian edm, edm, pop dance, tropical house",121.019241333,0.950203120708,71.42857143
2024-19-12,Gülün Rengi,Serdar Ortaç,turkish pop,126.910697937,0.932381510735,71.42857143
2024-19-12,UP!,"Forrest Frank, Connor Price",singer-songwriter pop,172.265853882,0.908984184265,71.42857143
2024-19-12,Idea 22,Gibran Alcocer,ambient lo-fi,126.910697937,0.908984184265,71.42857143
2024-19-12,this is what falling in love feels like,JVKE,"modern indie pop, pov: indie, singer-songwriter pop",126.910697937,0.908984184265,71.42857143
2024-19-12,snowfall (Sped Up),"Øneheart, reidenshi",ambient lo-fi,126.910697937,0.908984184265,71.42857143
2024-19-12,End of Beginning,Djo,"pov: indie, psychedelic pop",126.910697937,0.908984184265,71.42857143
2024-20-12,Ağlama ben ağlarım,Canozan,"turkish alt pop, turkish alternative rock, turkish rock",126.910697937,0.908984184265,0.0
2024-20-12,Dancing in the Moonlight,Toploader,british alternative rock,150.040557861,0.954892337322,0.0
2024-20-12,I Want It That Way,Backstreet Boys,"boy band, dance pop, pop",164.169509888,0.506190299988,0.0
2024-20-12,Good To Be,Mark Ambor,singer-songwriter pop,172.265853882,0.908984184265,0.0
2024-20-12,Burn,Ellie Goulding,"indietronica, metropopolis, pop, uk pop",126.910697937,0.908984184265,0.0
2024-20-12,Does To Me (feat. Eric Church),"Luke Combs, Eric Church","contemporary country, country",112.980995178,0.771341562271,0.0
2024-20-12,As It Was,Harry Styles,pop,125.98135376,0.924481570721,0.0
2024-21-12,Don't Stop The Music,Rihanna,"barbadian pop, pop, urban contemporary",124.999603271,0.908742427826,63.63636364
2024-21-12,Aşk Lazım,Gökhan Türkmen,turkish pop,126.910697937,0.932381510735,63.63636364
2024-21-12,L'italiano,Toto Cutugno,classic italian pop,172.265228271,0.941717147827,63.63636364
2024-21-12,I Want It That Way,Backstreet Boys,"boy band, dance pop, pop",164.169509888,0.506190299988,63.63636364
2024-21-12,Aşk Nerden Nereye,Gripin,"turkish alternative, turkish pop, turkish rock",162.529693604,0.955693721771,63.63636364
2024-21-12,bloodline,Ariana Grande,pop,153.927520752,0.96458530426,63.63636364
2024-22-12,Love Me Again,John Newman,dance pop,125.963882446,0.847758233547,54.54545455
2024-22-12,L'italiano,Toto Cutugno,classic italian pop,172.265228271,0.941717147827,54.54545455
2024-22-12,Youngblood,5 Seconds of Summer,"boy band, pop",120.054069519,0.829949736595,54.54545455
2024-22-12,I Want It That Way,Backstreet Boys,"boy band, dance pop, pop",164.169509888,0.506190299988,54.54545455
2024-22-12,Last Friday Night (T.G.I.F.),Katy Perry,pop,125.98135376,0.855365514755,54.54545455
2024-22-12,Maps,Maroon 5,pop,122.988250732,0.935609936714,54.54545455
