Track Name,Artist,Track ID,Genres,Tempo,Loudness,Danceability
Memories (feat. Kid Cudi) - 2021 Remix,"David Guetta, Kid Cudi",59o6ojGNGJOYiVJSzC6Lsa,"hip hop, ohio hip hop, pop rap, rap",136.806732178,0.9352465868,
Dreaming,Smallpools,6cMswWRv4lAU3mh5lclgCc,"hopebeat, indie poptimism, la indie, la pop, metropopolis, modern alternative rock, modern rock",,,
16 Years,The Griswolds,3BWbj5NXUgr0hK7PmFSI9D,"hopebeat, indie poptimism, shimmer pop",85.0166168213,0.917595565319,
A Bird's Last Look,Macabre Plaza,5omLpU1N0uN51OSXL62VAM,"hypnagogic pop, utopian virtual",,,
Je te laisserai des mots,Patrick Watson,44A0o4jA8F2ZF03Zacwlwx,"indie folk, indie quebecois",,,
The Night We Met,Lord Huron,3hRV0jL3vUpRrcy398teAU,"indie folk, stomp and holler",,,
Opendoors,Jitwam,1gPeJMO7Az6ZtzHiaKUTWb,"indie jazz, indie soul, lo-fi house",71.5682601929,0.654343008995,
All Time Low,Jon Bellion,1CnPYaKxTVb4LWOtiGOm0m,indie pop rap,,,
Someone To You,BANNERS,14BH4qO7pgCmIe6mgLKOK3,indie poptimism,,,
Shine A Light,BANNERS,1fDtoTPDyzkNOfFIRXxsC5,indie poptimism,,,
Electric Love,BØRNS,2GiJYvgVaD2HtM8GqD9EgQ,"indie poptimism, modern alternative rock, modern rock, pov: indie",,,
Le Départ,Adi Oasis,0FTpFi1BlqoBVELlh7jK50,"indie r&b, indie soul",172.265563965,0.00607901858166,
Whisper My Name,Adi Oasis,0dTye9Nu4yiVfmIlyI8PEE,"indie r&b, indie soul",,,
I WANNA BE YOUR SLAVE,Måneskin,4pt5fDVTg5GhEvEtlz9dKk,"indie rock italiano, italian pop",,,
Undercover Martyn,Two Door Cinema Club,0bePGTDjn0XuEKoN7rOMvV,"indie rock, indietronica, irish rock, modern alternative rock, modern rock, northern irish indie",,,
Undercover Martyn,Two Door Cinema Club,6GQLX6Z28fYwDNCrhaKzYF,"indie rock, indietronica, irish rock, modern alternative rock, modern rock, northern irish indie",,,
Undercover Martyn,Two Door Cinema Club,1JmRbZclLHgneDrpyA9e3X,"indie rock, indietronica, irish rock, modern alternative rock, modern rock, northern irish indie",,,
Tongue Tied,GROUPLOVE,0GO8y8jQk1PkHzS31d699N,"indie rock, la indie, modern alternative rock, modern rock, pov: indie",,,
Pretty Face,PUBLIC,07tbYac108weqzeP7Bhwon,indie rockism,101.011917114,0.967651069164,
Make You Mine,PUBLIC,5iFwAOB2TFkPJk8sMlxP8g,indie rockism,,,
dancing,NEIL FRANCES,2blNIRZz1KKV4fAC5OgI1o,indie soul,,,
Teardrops,NEIL FRANCES,3GdogCZTpPHBODiiEJbqQm,indie soul,,,
People Everywhere (Still Alive),Khruangbin,2OQ1V0e2O56AeIo4ywuYKF,"indie soul, neo-psychedelic, world",,,
Burn,Ellie Goulding,5lF0pHbsJ0QqyIrLweHJPW,"indietronica, metropopolis, pop, uk pop",,,
Mind Over Matter (Reprise),Young the Giant,77KnJc8o5G1eKVwX5ywMeZ,"indietronica, modern alternative rock, modern rock, pov: indie, stomp and holler",152.006454468,0.807415425777,
Why Can't We Be Friends?,The Academic,0qZXLvlsM5ELq3WfZXgnCi,irish indie,129.890228271,0.912743449211,
Too Sweet,Hozier,5Z0UnEtpLDQyYlWwgi8m9C,"irish singer-songwriter, modern rock, pop, pov: indie",,,
